"Country ofNationality","Arrivals(in numbers)","1st quarter(Jan-March)","2nd quarter(Apr-June)","3rd quarter(July-Sep)","4th quarter(Oct-Dec)",2.4 MODE OF TRAVEL OF FTAs IN INDIA,Table Name,YEAR,ARRIVELS,Gender Distribution (%),Unnamed: 0,Unnamed: 1,Country of Nationality,Total (In Numbers),Female,Male,"Total (InNumber)",0-14,15-24,25-34,35-44,45-54,55-64,"65 AndAbove",2.8 FTAs IN INDIA ACCORDING TO PURPOSE,"Arrivals(innumbers)","BusinessandProfessional","IndianDiaspora","LeisureHolidayandRecreation",Medical,Student,Others,"Businessandrofessional",Purpose,Visa Type,2.9       AVERAGE DURATION OF STAY OF FOREIGN TOURIST ARRIVALS IN INDIA,Total (in numbers),"Average Durationof stay (in days)","Total (innumbers)","0-1Days","2-3Days","4-7Days","1-2Weeks","2-4Weeks",">1Month","NotKnown",2.10 TOP 15 SOURCE COUNTRIES FOR FTAs IN INDIA,Rank,Country,"FTAs inIndia in2020","%Sharein 2020",Rank.1,Country.1,"FTAs inIndia in2021","%Sharein 2021"
Total,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,334850.0,13.1,52.9,4.4,0.6,0.3,28.7,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,983.0,74.7,11.1,6.2,0.4,1.6,6.0,,,,,,,,,,,,,,,,,,,,,,,
Hungury,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,653.0,49.6,21.9,13.9,1.5,1.0,12.2,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,2378.0,9.6,5.0,72.4,9.5,1.5,2.0,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,2461.0,61.2,16.0,10.4,0.7,0.6,11.2,,,,,,,,,,,,,,,,,,,,,,,
"RussianFederation",,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,17567.0,58.0,10.1,20.5,2.5,1.2,7.6,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,5197.0,44.6,11.8,13.0,4.4,0.9,25.3,,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,13875.0,34.2,7.8,5.4,45.5,2.2,4.9,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,43114.0,45.8,9.7,16.7,17.9,1.5,8.4,,,,,,,,,,,,,,,,,,,,,,,
Africa,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,1739.0,69.6,11.9,4.0,3.3,5.8,5.3,,,,,,,,,,,,,,,,,,,,,,,
Kenya,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,13373.0,8.2,23.9,3.9,25.6,2.5,36.0,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,2118.0,2.4,25.3,7.2,52.5,5.0,7.6,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,5516.0,5.7,8.3,0.1,52.8,31.1,2.0,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,3820.0,40.3,24.8,5.0,4.2,1.6,24.2,,,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,6781.0,18.9,4.6,0.0,57.6,17.6,1.2,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,6480.0,8.2,15.1,2.8,33.9,23.7,16.3,,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,29087.0,12.8,8.3,1.1,46.7,20.6,10.4,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,68914.0,13.7,13.2,2.1,40.0,16.1,14.9,,,,,,,,,,,,,,,,,,,,,,,
West Asia,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,1727.0,3.0,42.1,11.5,21.4,0.4,21.7,,,,,,,,,,,,,,,,,,,,,,,
Iraq,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,16213.0,1.7,1.0,0.0,94.7,2.1,0.4,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,4601.0,70.5,6.1,12.6,1.4,0.3,9.1,,,,,,,,,,,,,,,,,,,,,,,
Oman,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,10174.0,1.5,6.3,14.5,74.8,0.3,2.6,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,1088.0,32.7,17.6,3.3,13.6,2.2,30.6,,,,,,,,,,,,,,,,,,,,,,,
Turkey,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,3710.0,75.6,3.5,3.4,4.5,1.2,11.9,,,,,,,,,,,,,,,,,,,,,,,
"United ArabEmirates",,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,3927.0,5.1,15.7,49.8,18.9,0.5,9.9,,,,,,,,,,,,,,,,,,,,,,,
Yemen,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,6235.0,6.4,5.0,0.6,74.0,10.6,3.4,,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,4499.0,37.5,13.4,10.4,11.3,16.5,10.9,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,52174.0,14.0,6.9,9.3,61.1,3.5,5.1,,,,,,,,,,,,,,,,,,,,,,,
South Asia,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,36451.0,21.9,13.4,0.4,53.6,9.7,0.9,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,240554.0,9.8,5.0,3.9,77.6,1.8,2.0,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,6081.0,5.1,0.0,23.1,15.4,0.0,56.4,,,,,,,,,,,,,,,,,,,,,,,
Iran,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,2369.0,33.5,10.7,10.3,1.5,23.1,20.9,,,,,,,,,,,,,,,,,,,,,,,
Maldives,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,26571.0,3.1,5.8,0.1,85.8,3.9,1.2,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,52544.0,1.8,9.7,71.9,0.5,1.8,14.3,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,8163.0,21.9,3.2,0.2,6.8,0.2,67.7,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,25989.0,46.2,13.6,16.6,3.4,8.1,12.1,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,398722.0,14.0,6.7,4.4,68.4,3.4,3.0,,,,,,,,,,,,,,,,,,,,,,,
South East Asia,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,2105.0,34.6,22.6,6.4,3.6,7.5,25.2,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,6628.0,17.7,21.4,11.7,2.6,12.5,34.1,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,3013.0,8.0,5.9,5.2,56.7,17.2,7.0,,,,,,,,,,,,,,,,,,,,,,,
Phillippines,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,6927.0,18.5,18.4,11.8,4.6,0.2,46.4,,,,,,,,,,,,,,,,,,,,,,,
Singapore,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,13407.0,2.4,37.2,6.3,0.1,0.1,53.7,,,,,,,,,,,,,,,,,,,,,,,
Thailand,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,4668.0,57.3,14.0,6.5,0.1,4.1,17.9,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,1104.0,26.9,7.8,14.6,0.3,21.0,29.4,,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,622.0,2.3,1.1,1.3,85.2,5.7,4.3,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,38474.0,16.6,24.3,8.0,8.1,5.3,37.7,,,,,,,,,,,,,,,,,,,,,,,
East Asia,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,3502.0,73.3,15.6,0.5,0.1,0.7,9.7,,,,,,,,,,,,,,,,,,,,,,,
Japan,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,15358.0,91.4,3.1,1.7,0.1,0.3,3.4,,,,,,,,,,,,,,,,,,,,,,,
"Korea(Republic of)",,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,13330.0,92.7,1.7,1.2,0.0,2.9,1.5,,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,1572.0,50.9,20.2,7.7,9.1,0.0,8.7,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,33762.0,88.1,4.7,1.6,0.4,1.9,3.3,,,,,,,,,,,,,,,,,,,,,,,
Australasia,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,33864.0,2.8,65.4,8.9,0.3,0.0,22.6,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,4497.0,4.9,62.3,5.1,0.2,0.3,27.2,,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,504.0,6.3,33.0,2.3,50.9,2.7,4.8,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,38865.0,3.1,64.6,8.3,0.9,0.1,22.9,,,,,,,,,,,,,,,,,,,,,,,
"Not classifiedelsewhere",,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,7.0,,0.0,0.0,0.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,
Grand Total,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,1527114.0,,39.2,5.8,21.2,2.0,19.7,12.1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Business and Professional,"Business, Conference, Employment and Official",,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Leisure Holiday and Recreation,Pilgrimage and Tourist,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Medical,"Medical, Medical Attendant and Medical X",,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian Diaspora,"OCI, PIO, Entry and Universal",,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Others,"Art Surrogacy, Diplomatic, Journalist, Long Term,Meeting Friends Relatives, Missionary, Mountaineering,Research, SAARC, Sports, Student, Transfer of visa,Transit, UN, Visit/ Visitor and Others/ Miscellaneous",,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.8.1,,,,,,North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.8.1,,,,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,80437.0,52.32,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.8.1,,,,,,United States of America,,,,,,,,,,,,,,,,,,,,,,,,429860.0,32.48,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.8.1,,,,,,Others,,,,,,,,,,,,,,,,,,,,,,,,2.0,64.0,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.8.1,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,510299.0,35.0,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,38474.0,36.0,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,East Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,3502.0,98.15,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,15358.0,53.79,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Korea (Republic Of),,,,,,,,,,,,,,,,,,,,,,,,13330.0,68.03,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Others,,,,,,,,,,,,,,,,,,,,,,,,1572.0,134.01,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,33762.0,63.0,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Australasia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,,,33864.0,47.23,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,4497.0,60.16,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Others,,,,,,,,,,,,,,,,,,,,,,,,504.0,53.25,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,38865.0,49.0,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Not classified elsewhere,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,1527114.0,32.12,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,80437.0,2.3,5.4,1.8,6.5,22.4,40.8,20.8,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,United States Of America,,,,,,,,,,,,,,,,,,,,,,,,,,429860.0,2.9,3.1,3.9,16.2,34.1,27.8,12.0,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Others,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,510299.0,2.8,3.5,3.6,14.6,32.3,29.9,13.4,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Central And South America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,530.0,7.2,3.0,7.0,7.4,17.2,34.2,24.2,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,2055.0,13.0,5.4,6.9,9.9,11.8,36.3,16.6,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,859.0,7.9,2.7,6.3,9.3,19.2,40.7,13.9,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Others,,,,,,,,,,,,,,,,,,,,,,,,,,3354.0,10.4,4.8,5.9,10.0,16.0,31.0,21.8,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,6798.0,10.6,4.6,6.3,9.7,15.2,34.1,19.4,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Western Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,4411.0,7.8,5.9,6.1,13.9,31.7,26.9,7.8,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,7382.0,4.2,5.9,6.2,13.7,30.7,31.1,8.3,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,5.0,7.5,10.7,14.3,27.7,27.2,7.6,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,1329.0,3.6,4.4,7.8,11.8,29.3,33.0,10.0,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,France,,,,,,,,,,,,,,,,,,,,,,,,,,30374.0,3.7,22.1,7.4,9.7,20.6,27.1,9.4,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,33772.0,12.4,15.9,5.0,11.2,25.3,23.2,7.0,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,1144.0,23.5,19.1,12.0,7.3,12.4,18.9,6.8,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,7600.0,4.5,3.2,2.7,9.6,38.9,34.4,6.7,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,13659.0,5.8,3.4,3.4,10.0,28.8,38.2,10.5,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,15631.0,12.9,27.2,4.7,8.0,22.7,19.2,5.3,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,2790.0,2.1,3.8,4.5,14.6,34.2,31.0,10.0,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,32064.0,6.5,5.9,5.3,7.1,26.4,37.3,11.5,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,6982.0,7.4,6.7,8.8,11.7,19.8,35.9,9.7,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,5579.0,1.9,2.0,4.7,9.1,30.9,42.1,9.4,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,4198.0,11.4,3.1,7.2,17.3,30.3,21.7,9.0,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,164143.0,5.3,4.8,3.6,14.7,36.8,26.5,8.3,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Others,,,,,,,,,,,,,,,,,,,,,,,,,,1767.0,19.8,8.2,9.0,12.6,18.6,22.1,9.7,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,334850.0,6.5,8.6,4.7,12.3,31.2,28.1,8.6,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Czech,,,,,,,,,,,,,,,,,,,,,,,,,,983.0,8.3,4.4,9.4,11.1,20.7,37.8,8.3,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Hungury,,,,,,,,,,,,,,,,,,,,,,,,,,653.0,10.4,6.7,9.0,15.3,22.4,24.7,11.5,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,2378.0,1.5,3.2,38.9,27.7,13.8,6.7,8.2,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,2461.0,11.7,18.8,13.1,11.3,16.1,21.0,8.0,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,17567.0,13.9,6.6,9.9,14.7,17.2,17.9,19.7,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,5197.0,16.3,22.0,11.7,8.1,11.3,14.0,16.5,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Others,,,,,,,,,,,,,,,,,,,,,,,,,,13875.0,8.4,10.8,18.1,16.2,16.2,21.2,9.2,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,43114.0,11.4,10.2,14.5,14.8,16.1,18.6,14.3,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,1739.0,24.5,9.9,16.8,12.1,7.4,19.1,10.2,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,13373.0,4.4,5.9,9.9,12.2,25.0,32.0,10.6,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,2118.0,1.5,0.6,4.8,11.6,30.2,36.2,15.1,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,5516.0,0.6,0.7,2.8,6.5,15.6,20.4,53.4,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,3820.0,8.5,3.8,6.0,12.7,19.9,34.5,14.6,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,6781.0,1.9,5.2,16.1,11.1,12.9,29.8,22.9,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,6480.0,0.5,1.5,8.8,14.2,22.2,27.3,25.5,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Others,,,,,,,,,,,,,,,,,,,,,,,,,,29087.0,14.1,3.4,3.5,7.0,14.1,29.6,28.3,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,68914.0,8.2,3.8,6.9,9.6,17.6,29.4,24.5,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,West Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,1727.0,3.4,1.7,7.7,11.9,23.6,40.4,11.5,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,16213.0,0.2,0.7,8.1,24.9,40.3,22.3,3.6,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,4601.0,10.3,9.4,24.6,17.6,15.3,15.1,7.7,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Oman,,,,,,,,,,,,,,,,,,,,,,,,,,10174.0,2.3,2.6,24.0,31.7,21.9,15.0,2.5,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,1088.0,12.8,8.4,3.7,6.2,12.5,36.9,19.7,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,3710.0,18.4,35.5,11.8,6.7,6.9,13.8,7.0,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,3927.0,6.6,7.4,21.0,21.4,26.1,13.9,3.7,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,6235.0,0.4,0.7,1.3,4.6,14.2,52.5,26.3,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Others,,,,,,,,,,,,,,,,,,,,,,,,,,4499.0,17.7,8.2,12.0,11.9,13.0,18.0,19.1,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,52174.0,5.2,5.6,13.3,19.7,24.5,23.1,8.6,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,South Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,36451.0,3.6,14.5,14.7,20.1,18.3,17.4,11.3,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,240554.0,1.9,6.5,17.4,22.9,23.6,21.3,6.3,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,6081.0,27.9,4.4,4.7,4.4,5.0,17.4,36.3,,,,,,,,,
,,,,,,,Table 2.9.2,,,,,,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,2369.0,1.9,3.5,11.2,10.0,12.6,29.5,31.2,,,,,,,,,
